Feature1, Feature2, Correlation, P-Value
average time to solve,success_rate,-0.23461420845101302, 7.185073724557836e-13
average time to solve,Adding-Decimals,0.014367612040173488, 0.6647825573757302
average time to solve,Addition,-0.07708715429343203, 0.019898650441131618
average time to solve,Algebraic-Manipulation,-0.013650692901585413, 0.6805624873998927
average time to solve,Area,0.03259810440361913, 0.3254340457775781
average time to solve,Area-Concept,-0.03362231501266715, 0.3104559130709136
average time to solve,Area-of-Circle,0.020855392323947383, 0.5293335628344013
average time to solve,Circle-Graph,0.004238122767661865, 0.8982965335695354
average time to solve,Circumference,0.037599013325136606, 0.2566649022392463
average time to solve,Combinatorics,-0.003884973357969638, 0.906730761626357
average time to solve,Comparing-Fractions,-0.01447500657030567, 0.6624312306095353
average time to solve,Compounding_Interest,0.04614218500456572, 0.1638334072487962
average time to solve,Congruence,0.0035128923706548316, 0.9156284863098958
average time to solve,Conversion-of-fractions-decimals-percents,-0.030362191547072308, 0.3597341935837651
average time to solve,Discount,0.06388350886424138, 0.05378501893660777
average time to solve,Divide-Decimals,0.05027318664295414, 0.12924292546778535
average time to solve,Divisibility,0.012429328221811274, 0.7077666968729094
average time to solve,Division,-0.023717655687529225, 0.47437686646124977
average time to solve,Equation-Concept,0.017874241889975124, 0.5898226694902451
average time to solve,Equation-Solving,-0.046006464631360544, 0.16507786881065165
average time to solve,Equivalent-Fractions-Decimals-Percents,-0.06891686642992356, 0.03744637582173886
average time to solve,Evaluating-Functions,0.04537256969857592, 0.1709844529530288
average time to solve,Exponents,-0.03576983876154299, 0.28054793666051325
average time to solve,Finding-Percents,0.061753486644735886, 0.06230259832982821
average time to solve,Fraction-Decimals-Percents,-0.09298015142233024, 0.0049514165172502254
average time to solve,Fraction-Division,-0.05827672208029337, 0.0785775410885695
average time to solve,Fraction-Multiplication,-0.03321064852097105, 0.3164206627329954
average time to solve,Fractions,-0.005778152275411094, 0.8616623056402581
average time to solve,Increasing_Percent_Sales_Tax,0.041313808890672966, 0.21259162667147985
average time to solve,Inducing-Functions,0.11150602560132696, 0.000742690302051614
average time to solve,Integers,-0.09968261563227612, 0.002580578460046215
average time to solve,Interpreting-Linear-Equations,0.046583576243273875, 0.1598349496184391
average time to solve,Interpreting-Numberline,-0.058678614548682444, 0.07653555616758637
average time to solve,Isosceles-Triangle,0.005703939185257887, 0.8634215377011077
average time to solve,Knowing_English_and_Metric_Terms,-0.022557229253823953, 0.49627294445178216
average time to solve,Least-Common-Multiple,-0.01753270417548718, 0.5969507651324957
